id ,name,district_id,created_at,updated_at,,,,,,,
269,Cyanika,20,2020-04-11 20:33:36,2020-04-11 20:33:36,,,,,,,
270,Gasaka,20,2020-04-11 20:33:37,2020-04-11 20:33:37,,,,,,,
271,Gatare,20,2020-04-11 20:33:38,2020-04-11 20:33:38,,,,,,,
272,Kaduha,20,2020-04-11 20:33:39,2020-04-11 20:33:39,,,,,,,
273,Kamegeri,20,2020-04-11 20:33:40,2020-04-11 20:33:40,,,,,,,
274,Kibirizi,20,2020-04-11 20:33:41,2020-04-11 20:33:41,,,,,,,
275,Kibumbwe,20,2020-04-11 20:33:42,2020-04-11 20:33:42,,,,,,,
276,Kitabi,20,2020-04-11 20:33:43,2020-04-11 20:33:43,,,,,,,
277,Mbazi,20,2020-04-11 20:33:44,2020-04-11 20:33:44,,,,,,,
278,Mugano,20,2020-04-11 20:33:45,2020-04-11 20:33:45,,,,,,,
279,Musange,20,2020-04-11 20:33:46,2020-04-11 20:33:46,,,,,,,
280,Musebeya,20,2020-04-11 20:33:47,2020-04-11 20:33:47,,,,,,,
281,Mushubi,20,2020-04-11 20:33:48,2020-04-11 20:33:48,,,,,,,
282,Nkomane,20,2020-04-11 20:33:49,2020-04-11 20:33:49,,,,,,,
283,Tare,20,2020-04-11 20:33:50,2020-04-11 20:33:50,,,,,,,
284,Uwinkingi,20,2020-04-11 20:33:51,2020-04-11 20:33:51,,,,,,,
285,Bushekeri,27,2020-04-11 20:33:52,2020-04-11 20:33:52,,,,,,,
286,Bushenge,27,2020-04-11 20:33:53,2020-04-11 20:33:53,,,,,,,
287,Cyato,27,2020-04-11 20:33:54,2020-04-11 20:33:54,,,,,,,
288,Gihombo,27,2020-04-11 20:33:55,2020-04-11 20:33:55,,,,,,,
289,Kagano,27,2020-04-11 20:33:56,2020-04-11 20:33:56,,,,,,,
290,Kanjongo,27,2020-04-11 20:33:57,2020-04-11 20:33:57,,,,,,,
291,Karambi,27,2020-04-11 20:33:58,2020-04-11 20:33:58,,,,,,,
292,Karengera,27,2020-04-11 20:33:01,2020-04-11 20:33:01,,,,,,,
293,Kirimbi,27,2020-04-11 20:33:02,2020-04-11 20:33:02,,,,,,,
294,Macuba,27,2020-04-11 20:33:03,2020-04-11 20:33:03,,,,,,,
295,Mahembe,27,2020-04-11 20:33:04,2020-04-11 20:33:04,,,,,,,
296,Nyabitekeri,27,2020-04-11 20:33:05,2020-04-11 20:33:05,,,,,,,
297,Rangiro,27,2020-04-11 20:33:06,2020-04-11 20:33:06,,,,,,,
298,Ruharambuga,27,2020-04-11 20:33:07,2020-04-11 20:33:07,,,,,,,
299,Shangi,27,2020-04-11 20:33:08,2020-04-11 20:33:08,,,,,,,
300,Busasamana,21,2020-04-11 20:33:09,2020-04-11 20:33:09,,,,,,,
301,Busoro,21,2020-04-11 20:33:10,2020-04-11 20:33:10,,,,,,,
302,Cyabakamyi,21,2020-04-11 20:33:11,2020-04-11 20:33:11,,,,,,,
303,Kibirizi,21,2020-04-11 20:33:12,2020-04-11 20:33:12,,,,,,,
304,Kigoma,21,2020-04-11 20:33:13,2020-04-11 20:33:13,,,,,,,
305,Mukingo,21,2020-04-11 20:33:14,2020-04-11 20:33:14,,,,,,,
306,Muyira,21,2020-04-11 20:33:15,2020-04-11 20:33:15,,,,,,,
307,Ntyazo,21,2020-04-11 20:33:16,2020-04-11 20:33:16,,,,,,,
308,Nyagisozi,21,2020-04-11 20:33:17,2020-04-11 20:33:17,,,,,,,
309,Rwabicuma,21,2020-04-11 20:33:18,2020-04-11 20:33:18,,,,,,,
310,Busanze,22,2020-04-11 20:33:19,2020-04-11 20:33:19,,,,,,,
311,Cyahinda,22,2020-04-11 20:33:20,2020-04-11 20:33:20,,,,,,,
312,Kibeho,22,2020-04-11 20:33:21,2020-04-11 20:33:21,,,,,,,
313,Kivu,22,2020-04-11 20:33:22,2020-04-11 20:33:22,,,,,,,
314,Mata,22,2020-04-11 20:33:23,2020-04-11 20:33:23,,,,,,,
315,Muganza,22,2020-04-11 20:33:24,2020-04-11 20:33:24,,,,,,,
316,Munini,22,2020-04-11 20:33:25,2020-04-11 20:33:25,,,,,,,
317,Ngera,22,2020-04-11 20:33:26,2020-04-11 20:33:26,,,,,,,
318,Ngoma,22,2020-04-11 20:33:27,2020-04-11 20:33:27,,,,,,,
319,Nyabimata,22,2020-04-11 20:33:28,2020-04-11 20:33:28,,,,,,,
320,Nyagisozi,22,2020-04-11 20:33:29,2020-04-11 20:33:29,,,,,,,
321,Ruheru,22,2020-04-11 20:33:30,2020-04-11 20:33:30,,,,,,,
322,Ruramba,22,2020-04-11 20:33:31,2020-04-11 20:33:31,,,,,,,
323,Rusenge,22,2020-04-11 20:33:32,2020-04-11 20:33:32,,,,,,,
